row,DOI,H_S,H_R,H_M,AI_GPT-5 Full,CONF_GPT-5 Full,REASON_GPT-5 Full,AI_GPT-5 mini,CONF_GPT-5 mini,REASON_GPT-5 mini,AI_Gemini Pro,CONF_Gemini Pro,REASON_Gemini Pro,AI_Gemini 2.5 Flash,CONF_Gemini 2.5 Flash,REASON_Gemini 2.5 Flash,reason_excl_R,benchmark,tier,n_labels,top_n
0,,,,,AI Development and Methods,0.62,"The proceedings explicitly include AI-focused studies in construction, such as “analysis of damage in a Warren truss bridge using CAE and DANN neural networks” and “application of AI for modelling and structural analysis of a parametric 2D frame with voice assistant.” These indicate development/application of AI/ML methods tailored to structural engineering problems, aligning with AI Development and Methods, even though other non-AI topics are also present.",AI Development and Methods,0.68,"The proceedings explicitly mention applied AI/ML techniques in construction contexts: ""analysis of damage in a warren truss bridge using CAE and DANN neural networks"" and ""application of AI for modelling and structural analysis of a parametric 2D frame with voice assistant."" These cues indicate papers focused on applying/adapting neural-network–based methods and AI modeling for structural analysis problems.",AI Development and Methods,5.0,"The abstract explicitly mentions papers focused on specific AI applications in construction, such as the 'analysis of damage in a warren truss bridge using CAE and DANN neural networks' and the 'application of AI for modelling and structural analysis of a parametric 2D frame with voice assistant', which directly relate to the development and application of AI methods for construction problems.",AI Development and Methods,0.95,"The abstract mentions papers focused on specific AI applications in construction, such as 'analysis of damage in a warren truss bridge using CAE and DANN neural networks' and 'application of AI for modelling and structural analysis of a parametric 2D frame with voice assistant'. These examples directly align with designing, adapting, or advancing AI/ML algorithms for construction problems.",,,No label,0,0
1,10.1016/j.engeos.2024.100315,Not Related,Not Related,Not Related,Not Related,0.9,"The abstract focuses on integrated simulation and optimization for reservoir–wellbore–pipeline networks in oil and gas fields (Sinopec context), emphasizing petroleum engineering operations, cloud platforms, and intelligent oil and gas field management. While AI is mentioned as a future integration (with big data and blockchain), there is no construction-industry context (e.g., buildings, infrastructure projects) nor concrete AI/ML methods applied to construction. Thus it is not related to AI/ML in construction.",Not Related,0.85,"Abstract focuses on integrated simulation and optimization of reservoir–wellbore–pipe networks for oil and gas field operations (Sinopec context), discussing modeling, cloud platforms, and optimization for production/profit. AI is only mentioned as a future integration/enabler alongside big data and blockchain, and the domain is oil & gas rather than construction; therefore it is not related to AI/ML in the construction industry.",Not Related,5.0,"The abstract focuses on the oil and gas industry, specifically the ""integrated simulation and optimization technology of reservoir-wellbore-pipe network"" for ""intelligent oil and gas fields."" This is unrelated to the construction industry. Although it mentions the ""construction of intelligent oil and gas fields,"" this refers to the development of a system, not civil or building construction.",AI Development and Methods,0.9,"The abstract discusses the 'development' of 'integrated simulation and optimization technology' and its future evolution towards 'intellectualization' and 'intelligent decision-making'. It explicitly states the need for 'strengthening the integration of oil and gas industry with artificial intelligence (AI)' for its development, aligning with the design and advancement of AI-tailored approaches.",,Not Related,Majority 3-0,3,3
2,10.1016/j.conbuildmat.2025.140233,AI Development and Methods,AI Development and Methods,AI Development and Methods,Not Related,0.9,"The paper focuses on sustainable materials (waste oyster shells in mortar/brick/concrete) and evaluates environmental, mechanical, and economic performance via a 3E model across regions (Shanghai, Paris, Seoul). AI is only briefly referenced as “AI-aided sensitivity analysis” without methodological detail or centrality. There is no development, adoption, or performance evaluation of AI/ML systems specific to construction; the primary contribution is materials/environmental assessment.",Not Related,0.88,"The abstract focuses on evaluating waste oyster shell substitutions in cement-based products via environmental, mechanical and economic (3E) analyses across regions (Shanghai, Paris, Seoul). AI is mentioned only once as an ""AI-aided sensitivity analysis"" confirming findings; the study’s primary contributions are material valorization and 3E evaluation rather than development, benchmarking, adoption, or economic impacts of AI/ML in construction. Thus AI/ML is peripheral to the core research.",Not Related,5.0,"The abstract's primary focus is on the environmental, mechanical, and economic feasibility of using waste oyster shells (WOS) as a construction material. Artificial intelligence is only mentioned once as a tool ('AI-aided sensitivity analysis') to support a specific analysis, but it is not the core subject of the research. The paper does not develop, evaluate, or discuss the adoption of AI systems in construction.",Not Related,0.9,"The abstract's primary focus is on the environmental performance, mechanical strength, and economic feasibility of using waste oyster shells as construction materials. AI is only mentioned once as 'AI-aided sensitivity analysis' to confirm certain findings, indicating it's a peripheral tool rather than the core subject of the research itself. The paper does not substantially address AI/ML applications in construction.",,AI Development and Methods,Majority 3-0,3,3
3,10.1016/j.wasman.2024.12.034,AI Development and Methods,AI Development and Methods,AI Development and Methods,AI Performance Evaluation,0.86,"The study applies multiple ML algorithms (GBR, RF, SVR, AdaBoost, DNN, kNN) to a dataset of 471 waste glass concrete samples to predict compressive strength, ASR, and saved carbon credits and reports detailed performance metrics (R2, RMSE). It benchmarks models and uses SHAP for interpretability, indicating a focus on evaluating ML models’ predictive performance in a construction materials context.",AI Development and Methods,0.92,"Abstract describes applying and comparing multiple ML algorithms (GBR, RF, SVR, AdaBoost, DNN, kNN) to predict construction-material properties (compressive strength, ASR, saved carbon credits) from a dataset of 471 waste-glass concrete samples, reports performance metrics (R2, RMSE), and uses SHAP for model interpretability — all indicating development and application of AI/ML methods tailored to a construction problem.",AI Performance Evaluation,5.0,"The abstract's primary focus is on benchmarking and validating the performance of several machine learning algorithms, including GBR, RF, SVR, and DNN. It explicitly compares their effectiveness in predicting concrete properties by reporting quantitative performance metrics like 'Coefficient of determination (R2)' and 'Root mean square error (RMSE)' based on a dataset of experimental samples.",AI Performance Evaluation,0.95,"The abstract explicitly details the 'outstanding prediction performance with Coefficient of determination (R2) values' and 'high prediction accuracy with Root mean square error (RMSE) values' for various ML algorithms, directly indicating the evaluation and validation of AI models.",,AI Development and Methods,Majority 3-0,3,3
4,10.1016/j.apmt.2025.102601,AI Development and Methods,AI Development and Methods,AI Development and Methods,AI Development and Methods,0.84,"The study introduces and applies a novel ML approach—XGBoost improved by Grey Wolf Optimizer (GWO)—to a construction materials problem (UHPC). Concrete cues: “introducing the novel extreme gradient boosting (XGBoost) improved by grey wolf optimizer (GWO) algorithm,” focused on “optimiz[ing] the prediction of mechanical properties” of UHPC, with reported R2 performance. The emphasis is on developing/adapting an AI/ML algorithm for construction-related prediction rather than adoption factors, economic impacts, or purely benchmarking.",AI Development and Methods,0.95,"The abstract centers on developing and applying a novel ML approach tailored to a construction-materials problem: it introduces an XGBoost model improved by a Grey Wolf Optimizer (GWO-XGB) and claims it is the first ML+GWO integration for UHPC. It focuses on algorithmic enhancement and prediction of mechanical properties (R2 values reported), emphasizing model development and accuracy rather than adoption, economic impact, or broad benchmarking.",AI Development and Methods,5.0,"The abstract focuses on the development and application of a ""novel extreme gradient boosting (XGBoost) improved by grey wolf optimizer (GWO) algorithm"" specifically tailored to predict the mechanical properties of ultra high-performance concrete (UHPC). This represents a clear focus on advancing an AI/ML algorithm for a construction-related problem, which is the definition of the 'AI Development and Methods' category.",AI Development and Methods,0.95,"The abstract focuses on 'employing advanced machine-learning (ML) techniques to optimize the prediction of mechanical properties' and specifically 'introducing the novel extreme gradient boosting (XGBoost) improved by grey wolf optimizer (GWO) algorithm'. It highlights this as the 'first integration of ML with GWO in UHPC research,' which indicates the design, adaptation, and advancement of an AI/ML algorithm tailored to predicting mechanical properties of Ultra High-Performance Concrete (UHPC).",,AI Development and Methods,Majority 3-0,3,3
5,10.3390/buildings15020280,,Not Related,Not Related,Not Related,0.9,"The study focuses on barriers to building energy-saving retrofits and proposes an information flow model using IDEF0 and DSM to improve information integration and collaboration. It employs bibliometric analysis (VOSviewer) and a PRISMA-based literature review. There is no development, evaluation, or adoption analysis of AI/ML systems in construction; generative AI is only mentioned peripherally as a potential beneficiary of better information integration, without implementation or assessment.",AI Adoption Factors,0.86,"The abstract primarily analyzes barriers (technical, economic, information asymmetry, limited collaboration) that impede energy-efficient building retrofits and stresses inadequate information integration and stakeholder collaboration. It proposes an information flow model (IDEF0 + DSM) as an enabler and explicitly states that improved information integration will promote professional generative AI. The focus is on challenges and enablers for AI/data-driven approaches in the construction retrofit context rather than on developing new AI methods or benchmarking AI performance.",Not Related,5.0,"The abstract's core focus is on identifying barriers to energy-efficient building retrofits and proposing an information flow model using IDEF0 and DSM. The research does not develop, apply, or evaluate any AI methods. AI is mentioned only once in the final sentence as a potential future beneficiary ('promote the advancement of professional generative AI'), which is a peripheral and speculative connection, not the substance of the research.",Not Related,0.95,"The abstract primarily focuses on assessing barriers in building retrofits and proposing an information flow model (integrating IDEF0 and DSM) to address these issues. The only mention of AI is at the very end: 'It is proposed that improved information integration and collaboration under this framework will significantly promote the advancement of professional generative AI.' This indicates that AI is a future potential or an outcome enabled by the research, rather than the core subject or application of AI/ML itself within the paper. Thus, AI is mentioned only peripherally.",,Not Related,Majority 2-0,2,2
6,10.1093/jcde/qwae065,AI Development and Methods,AI Development and Methods,AI Development and Methods,AI Development and Methods,0.86,"The abstract presents a novel text-to-image generative AI approach for architectural visualization in the AEC industry, including creating 10,000+ images, integrating an architect’s style, and performing additional training for low-similarity styles integrated into a base AI model. These details indicate method development and adaptation of AI models tailored to a construction-related design task, rather than focusing on adoption factors, economic impacts, or solely benchmarking performance.",AI Development and Methods,0.93,"The abstract describes developing and adapting generative AI (text-to-image) models for architectural visualization: creating >10,000 images, integrating various architectural styles, performing additional training for low-similarity styles, extensive data preparation, and integrating those styles into a base AI model — all indicating methodology/algorithm development tailored to construction/architecture applications.",AI Development and Methods,5.0,"The abstract introduces a 'novel approach to architectural visualization using generative artificial intelligence (AI)' and details the methodology, which involves 'additional training for styles with low similarity rates' and their 'integration into the base AI model.' This focus on creating and refining a specific AI technique for a construction-related application aligns directly with the AI Development and Methods category.",AI Development and Methods,0.95,"The abstract introduces a 'novel approach to architectural visualization using generative artificial intelligence' and details the 'method involved additional training' and 'integration into the base AI model' to achieve personalized design, which aligns with designing or adapting AI algorithms for construction problems.",,AI Development and Methods,Majority 3-0,3,3
7,10.51576/ymd.1536267,,Not Related,Not Related,Not Related,0.99,"The abstract focuses on AI-generated music and an HMM-based system for automatic composition and accompaniment (e.g., Aiva, Suno AI, Hidden Markov model for music). It contains no discussion of construction industry contexts, applications, or datasets.",Not Related,0.95,"The abstract discusses AI in music composition (references to Aiva, Suno AI, Markov chains, Hidden Markov Model, accompaniment generation, musical elements). It does not mention construction, construction industry problems, or construction-related AI/ML applications, so it is not related to construction research.",Not Related,5.0,"The abstract focuses exclusively on the application of AI in the music industry, discussing topics such as 'AI-composed album,' 'AI composition system,' and 'generating accompaniment music.' It does not contain any mention of construction, engineering, or related fields.",Not Related,1.0,"The abstract discusses the application and development of AI in music composition, focusing on algorithms like Hidden Markov Models for generating accompaniment music. It does not mention or relate to the construction industry in any way.",,Not Related,Majority 2-0,2,2
8,10.1201/9781003383840-2,AI Development and Methods,,,Not Related,0.76,"The abstract centers on Digital Twins (DTs) in AECO and smart cities, offering a classification of DTs, distinctions with CPS/IoT and BIM, and platform comparisons. AI is only briefly referenced as part of DTs enabling smart decision-making with IoT, without detailing AI/ML methods, adoption factors, performance benchmarking, or economic analysis. Therefore, AI is peripheral rather than the substantive focus.",AI Development and Methods,0.78,"The abstract focuses on Digital Twins as technical constructs in AECO, describing their role combining AI with IoT, classifying DT types, comparing implementation platforms, and differentiating DT/CPS/BIM concepts. These cues point to methodological/system design and computational integration of AI in construction rather than adoption, performance benchmarking, or economic impact.",Not Related,5.0,"The abstract's primary focus is on defining and classifying Digital Twins (DTs) in the AECO industry. Artificial Intelligence is only mentioned peripherally as a component that DTs can use ('combining artificial intelligence (AI) with the internet of things (IOT)'), rather than being the central topic of development, evaluation, or adoption analysis.",Not Related,0.9,"The abstract primarily discusses Digital Twins (DTs) in the AECO industry and Smart Cities, including their classification, differences from related concepts (CPS, IoT, BIM), and implementation platforms. While it mentions that 'a DT unlocks value in supporting smart decision-making by combining artificial intelligence (AI) with the internet of things (IOT)', AI is presented as a component integrated into DTs rather than being the substantial focus of the research itself (e.g., developing AI methods, evaluating AI performance, or studying AI adoption). The paper's main contribution lies in understanding DTs, not AI.",,AI Development and Methods,Single label,1,1
9,10.3390/buildings14113431,,,,Not Related,0.79,"The abstract is a bibliometric review of BIM applications in civil infrastructure, focusing on research trends, contributors, and clusters (e.g., lifecycle management, collaboration, sustainability). While it briefly mentions integration with emerging technologies including Machine Learning, AI/ML is peripheral and not the primary focus; there is no discussion of AI methods, adoption factors, performance evaluation, or economic impacts specific to AI in construction.",Not Related,0.85,"The paper is a bibliometric review of BIM research in civil infrastructure (646 papers collected, 416 analyzed) focusing on research trends, contributors, and clusters. Machine Learning is only mentioned as one of several emerging technologies (with Digital Twins and IoT) integrated with BIM; there is no substantive focus on AI/ML methods, adoption factors, performance benchmarking, or economic impacts. Therefore it does not substantially address AI/ML in construction.",Not Related,5.0,"The abstract describes a bibliometric review of research on Building Information Modeling (BIM) applications. While it mentions 'Machine Learning' as one of several 'emerging technologies' being integrated with BIM, the paper's core methodology is 'bibliometric analysis' and its focus is on mapping research trends, key contributors, and knowledge structures in the BIM field. The study does not substantially address AI; it only notes it as a trend in the literature it is reviewing.",Not Related,0.7,"The abstract describes a bibliometric review focused on BIM applications in civil infrastructure. While it mentions 'Machine Learning' as an 'emerging technology' and a significant trend in BIM integration, the paper itself does not substantially address AI/ML applications, development, adoption, performance, or economic impacts. AI is noted as a trend found within the broader BIM research landscape, not as the primary subject or direct contribution of this paper.",,,No label,0,0
