row,DOI,Abstract,label
1,10.1016/j.engeos.2024.100315,"The integrated simulation and optimization technology of reservoir-wellbore-pipe network is developed to reflect the mutual influence and restriction among reservoir engineering, oil production engineering and surface engineering, and to obtain the scheme with minimum conflict and optimal benefit in each step. This technology is based on the concept of global optimization to maximize production and profit, reduce costs and increase benefit. This paper elaborates the current situation of integrated simulation technology of reservoir-wellbore-pipe network both at home and abroad, discusses its correlation with the primary business of Sinopec and its development from three aspects of modeling, cloud platform and intellectualization. Suggestions on its future development are put forward from underlying data, software platform, popularization and application, and cross-border integration to provide means and guidance for the construction of intelligent oil and gas fields. The results show that the integrated simulation of reservoir-wellbore-pipe network can better reflect the optimization requirements of each step, avoid the ineffective operation of field equipment, and effectively improve the efficiency of research and management. Coupling solution, global optimization method and pressure fitting, which can make the simulation results reflect the real situation, are the key technologies for the network. The theoretical technology and main function research of integrated simulation technology have been mature, but the large-scale application and local function improvement of oil and gas fields are yet to be promoted. In the future, the integrated simulation of reservoir-wellbore-pipe network will develop from digitalization to modeling and intellectualization, from local simulation to cloud computing, and from manual intervention to intelligent decision-making. We suggest speeding up the construction of the unified database and model base of the whole underlying platform, strengthening the construction of software integration and integration platform with independent intellectual property rights, speeding up the popularization and application of intelligent oil and gas field demonstration projects, and strengthening the integration of oil and gas industry with artificial intelligence (AI), big data and block chain for its development. © 2024 Sinopec Petroleum Exploration and Production Research Institute",Not Related
2,10.1016/j.conbuildmat.2025.140233,"To achieve a win-win solution for pollution reduction in the traditional construction industry and rubbish management, waste oyster shells (WOS) has been widely utilized as construction materials. This study systematically considered the overall potential impacts of different WOS substitutions (WOS fines, WOS sand, WOS gravel) in different cement-based products. The valorization scenarios involved applying WOS substitutions into mortar, brick, and concrete, while the basic scenario focused on the landfilling method. To highlight regional differences, Shanghai, Paris, and Seoul were selected as the primary application environments. Therefore, by considering various perspectives such as substitution types, replacement ratios, application locations, and types of construction products, this study systematically analyzed the environmental performance, mechanical strength, and economic feasibility of all scenarios. Ultimately, a comprehensive evaluation was conducted using the 3E model to identify the optimal solution. The results indicated that the environmental friendliness of WOS products was always superior to the control group, while the pollution contributions of product components can be ranked as: cement production ≈ natural aggregate transportation ≫ WOS processing and transportation. The environmental friendliness can be further improved by shortening the upstream aggregate transport distance, increasing the cement substitution ratio, and reducing electricity consumption during WOS fines production, as confirmed by AI-aided sensitivity analysis. Moreover, the analysis of economic feasibility and engineering properties demonstrated that the WOS products did not result in significant cost savings and may carry the risk of reduced strength. It can be further enhanced by lowering WOS preprocessing labor costs and incorporating a superplasticizer agent. Finally, the 3E model evaluation of all scenarios across the three regions revealed that the brick with 10 % cement replacement achieved the highest score due to its low environmental impact, high mechanical performance, and most economical production costs. This study provides new insights for decision-making regarding sustainable construction materials. © 2025 Elsevier Ltd",AI Development and Methods
3,10.1016/j.wasman.2024.12.034,"Recycling waste glass (WG) can be time-consuming, costly, and impractical. However, its incorporation into concrete significantly reduces environmental impact and carbon emissions. This paper introduces machine learning (ML) to civil engineering to optimise WG utilisation in concrete, supporting sustainability objectives. By employing a dataset of 471 experimental samples of waste glass concrete (WGC), various ML algorithms are applied, including Gradient Boosting Regressor (GBR), Random Forest (RF), Support Vector Regression (SVR), Adaptive Boosting (AdaBoost), Deep Neural Network (DNN), and k-Nearest Neighbours (kNN), to predict properties containing compressive strength (CS), alkali-silica reaction (ASR), and saved carbon credits (SCC). The proposed models achieve outstanding prediction performance with Coefficient of determination (R2) values of 0.95 for CS, 0.97 for ASR, and 0.99 for SCC using GBR and SVR, demonstrating high prediction accuracy with Root mean square error (RMSE) values of 3.31 MPa for CS, 0.03 % for ASR, and 0.11 for SCC. The SHapley Additive exPlanations (SHAP) analysis is utilised to interpret the model results, ensuring transparency and interpretability of the proposed ML models. The results reveal that the incorporation level of WG is a more significant influencing factor for these properties than the mean size of WG (MSWG). © 2024 The Author(s)",AI Development and Methods
4,10.1016/j.apmt.2025.102601,"Nowadays, the construction industry has increasingly recognized the superior performance characteristics of ultra high-performance concrete (UHPC). Known for its exceptional durability and high tensile strength, UHPC material is revolutionizing structure standards subjected to extreme environmental conditions and heavy loads. This paper explores the enhancement of UHPC with nano- and micromaterials, employing advanced machine-learning (ML) techniques to optimize the prediction of mechanical properties. Moreover, by introducing the novel extreme gradient boosting (XGBoost) improved by grey wolf optimizer (GWO) algorithm, this research represents the first integration of ML with GWO in UHPC research, significantly enhancing the accuracy of predictions for key properties such as compressive, tensile, and flexural strengths. The study investigates the impact of nanotechnology on UHPC, specifically how carbon nanotubes (CNTs) and microscale reinforcements contribute to advances in strength, durability, and resilience. These enhancements are pivotal in addressing limitations of traditional concrete, especially in high-demand construction environments. The proposed GWO-XGB model has demonstrated a remarkable ability to achieve R2 values of 98.4% and 94.8% for UHPC with nanomaterial and micromaterial, respectively, indicating very high level of accuracy in predicting mechanical properties. This model also had one of the lowest error values, demonstrating its precision and ability to minimize prediction errors. This approach significantly facilitates the testing and development of UHPC by automating the accurate determination of its mechanical properties, thereby reducing the reliance on costly and time-consuming experimental methods. Highlighting the transformative potential of combining ML with engineering science, this study offers promising avenues for innovations in construction practices. © 2025 Elsevier Ltd",AI Development and Methods
5,10.3390/buildings15020280,"The challenge of high energy consumption and carbon emissions within China’s construction industry has become increasingly urgent, as over 40% of buildings are still non-energy efficient. The multifaceted nature of systems involved in building retrofits results in a complex project, with barriers in both retrofit design and construction becoming increasingly evident. This research comprehensively assesses the common barriers in building retrofits and investigates the potential for integrating energy-efficient retrofits with information flow modeling from an interdisciplinary perspective. In order to pinpoint the main barriers hindering building retrofits, this study employs the bibliometric software VOSviewer. The analysis uncovers that the primary obstacles to energy-saving renovations are categorized into technical, economic, environmental, and other barriers. These barriers are characterized by a high degree of specialization, the inadequate integration of information, and limited collaboration among stakeholders. Subsequently, a qualitative literature review was conducted following the PRISMA methodology, which screened 40 key sources. The following conclusions were drawn: (1) The design of energy-saving renovation processes is impeded by the limited professional perspectives within the construction industry, which restricts the practical applicability; (2) Decision making for energy-saving renovations encounters notable professional barriers and suffers from inadequate information integration; (3) There is a lack of clarity regarding information needs during the implementation phase, and no effective platform exists for information coordination; (4) Risk analyses in complex energy-saving renovations largely depend on expert interviews, lacking robust scientific tools. These findings highlight that knowledge gaps and information asymmetry are the central challenges. To tackle these issues, this paper suggests the implementation of an information flow model that integrates the IDEF0 and DSM for building energy-saving retrofit projects. The IDEF0 model can clearly describe the interaction relationship of all expert information through functional decomposition, while the DSM can show the dependency relationship and information flow path among specialties through the matrix structure. This model is anticipated to enhance professional information integration and collaboration. It is proposed that improved information integration and collaboration under this framework will significantly promote the advancement of professional generative AI. © 2025 by the authors.",Not Related
6,10.1093/jcde/qwae065,"This study introduces a novel approach to architectural visualization using generative artificial intelligence (AI), particularly emphasizing text-to-image technology, to remarkably improve the visualization process right from the initial design phase within the architecture, engineering, and construction industry. By creating more than 10 000 images incorporating an architect’s personal style and characteristics into a residential house model, the effectiveness of base AI models. Furthermore, various architectural styles were integrated to enhance the visualization process. This method involved additional training for styles with low similarity rates, which required extensive data preparation and their integration into the base AI model. Demonstrated to be effective across multiple scenarios, this technique markedly enhances the efficiency and speed of production of architectural visualization images. Highlighting the vast potential of AI in design visualization, our study emphasizes the technology’s shift toward facilitating more user-centered and personalized design applications. © The Author(s) 2024. Published by Oxford University Press on behalf of the Society for Computational Design and Engineering.",AI Development and Methods
7,10.51576/ymd.1536267,"The era of Artificial Intelligence (AI) in music has truly arrived. Since the groundbreaking success of “Genesis,” the first AI-composed album released in 2016 by the world’s inaugural Artificial Intelligence Virtual Artist (Aiva), the music industry has witnessed an AI revolution. This momentum continued with the remarkable launch of Suno AI V3 in early 2024, capable of generating publishable music within minutes based on simple prompts. AI composition has now become a focal point of interest for scholars around the globe. Currently, there are many automatic composition algorithms in the interdisciplinary research field of musicology and computer science, and Markov chain is a representative automatic accompaniment algorithm for intelligent computer systems. With the advent of the big data era, Markov chain, an automatic composition method based on probability theory, has gradually been ignored by everyone, but research on artificial intelligence music generation based on Hidden Markov model (HMM) is still very valuable. This paper proposes a method for constructing an AI composition system based on the HMM. This system achieves the goal of automatically generating accompaniment music from score data. The proposed system has achieved relatively stable results in the generation of musical elements such as form and harmony, accompaniment texture, and instrumentation, and has scored well in evaluation experiments. This study hopes to explore the technical boundaries of musicology research in the AI era through the construction of algorithmic composition engineering cases in an empirical way. © 2024, Tolga Karaca. All rights reserved.",Not Related
10,10.1007/978-3-031-72509-8_74,"With the rapid development of China’s economy, the field of construction engineering is also making continuous progress. Safety management has become more important in the construction industry, so improving the quality and level of construction has become a top priority. AI is the product of new technologies such as intelligence, information, automation and networking. This paper will start from the construction status of the project, combined with relevant theories to analyze the problems faced by the intelligent system and the solution measures. By using computer-aided means to prevent and deal with construction engineering accidents, and applying computer simulation technology to safety supervision work in practical operation, the construction quality and efficiency are improved. Then, this paper tests the performance of the safety supervision system, and the test results show that the alarm frequency data covers the number of data points at 100 time points, obtained by random generation, and the value range is between 50 and 100. These data points show a trend that reflects the alarm situation of the safety regulatory system. Before it is optimized by intelligent algorithm, the response time gradually decreases and shows a decreasing trend. However, the optimized response time starts at 0.8 and remains relatively low. Over time, the response time is further reduced. This shows that after optimization, the response time of the security alert system has been significantly improved, and it is able to respond more quickly. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",AI Development and Methods
11,10.3390/app142210517,"Accurate earthwork quantity estimation is essential for effective project planning and cost management in the Architecture, Engineering, and Construction (AEC) industry. Traditional methods for quantity takeoff are often time-consuming and susceptible to human error, particularly when working with unstructured datasets such as CAD drawings. This study introduces the Earthwork Network Architecture (ENA), a novel deep learning framework that incorporates Large Language Models (LLMs), Multi-Layer Perceptron (MLP), Long Short-Term Memory (LSTM) networks, and Transformers to automate and enhance the accuracy of earthwork quantity estimation. We assume that if LLMs can be trained effectively using such unstructured construction dataset, the effects such as improved accuracy and the challenges of LLMs can be clearly examined. Among the architectures tested, the LLM-based ENA demonstrated superior performance, achieving faster convergence, greater loss reduction, and higher classification accuracy, with a Quantity Takeoff Classification accuracy of 97.17%. However, the LLMs required significantly more computational resources compared with other models. These findings suggest that LLMs, typically used in natural language processing, can be effectively adapted for complex AEC datasets. This study lays the groundwork for future AI-driven solutions in the AEC industry, underscoring the potential of LLMs and Transformers to automate the quantity takeoff process and manage multimodal data in construction projects. © 2024 by the authors.",AI Development and Methods
12,10.1038/s41467-024-52501-4,"Structural health monitoring ensures the safety and longevity of structures like buildings and bridges. As the volume and scale of structures and the impact of their failure continue to grow, there is a dire need for SHM techniques that are scalable, inexpensive, can operate passively without human intervention, and are customized for each mechanical structure without the need for complex baseline models. We present a novel “deploy-and-forget” approach for automated detection and localization of damage in structures. It is a synergistic integration of entirely passive measurements from inexpensive sensors, data compression, and a mechanics-informed autoencoder. Once deployed, the model continuously learns and adapts a bespoke baseline model for each structure, learning from its undamaged state’s response characteristics. After learning from just 3 hours of data, it can autonomously detect and localize different types of unforeseen damage. Results from numerical simulations and experiments indicate that incorporating the mechanical characteristics into the autoencoder allows for up to a 35% improvement in the detection and localization of minor damage over a standard autoencoder. Our approach holds significant promise for reducing human intervention and inspection costs while enabling proactive and preventive maintenance strategies. This will extend the lifespan, reliability, and sustainability of civil infrastructures. © The Author(s) 2024.",AI Development and Methods
